"microarray"	"rnaseq"	"flag"
"Os01g0197100"	NA	3
"Os01g0197200"	"Os01g0197200"	1
"Os01g0197400"	"Os01g0197400"	1
"Os01g0197500"	"Os01g0197400"	2
"Os01g0197600"	"Os01g0197700"	2
"Os01g0197700"	"Os01g0197700"	1
"Os01g0197900"	"Os01g0197900"	1
"Os01g0198000"	"Os01g0198000"	1
"Os01g0198100"	"Os01g0198100"	1
"Os01g0198200"	"Os01g0198200"	1
"Os01g0198500"	"Os01g0198500"	1
"Os01g0198900"	"Os01g0198900"	1
"Os01g0199100"	NA	3
"Os01g0199400"	"Os01g0199400"	1
"Os01g0199700"	NA	3
"Os01g0199900"	"Os01g0199900"	1
"Os01g0200000"	"Os01g0200000"	1
"Os01g0200100"	NA	3
"Os01g0200300"	"Os01g0200300"	1
"Os01g0200400"	"Os01g0200400"	1
"Os01g0200500"	"Os01g0200500"	1
"Os01g0200600"	"Os01g0200600"	1
"Os01g0200700"	"Os01g0200700"	1
"Os01g0201000"	NA	3
"Os01g0201100"	"Os01g0201100"	1
"Os01g0201200"	"Os01g0201200"	1
"Os01g0201400"	"Os01g0201400"	1
"Os01g0201600"	"Os01g0201600"	1
"Os01g0201700"	"Os01g0201700"	1
"Os01g0201800"	NA	3
"Os01g0201900"	"Os01g0201900"	1
"Os01g0202300"	"Os06g0108900"	2
"Os01g0202500"	"Os01g0202500"	1
"Os01g0202800"	NA	3
"Os01g0202900"	NA	3
"Os01g0203000"	"Os01g0203000"	1
"Os01g0203100"	NA	3
